fault,1200rpm,1800rpm,200-2400-200,2400rpm
BRG_BF,10.820434571816774,11.774971608197568,18.60650762583249,10.507664593401262
BRG_CF,6.0502676505587205,6.54032246961281,8.837269228120572,7.133139305238584
BRG_IO,12.152767894352165,9.44965484421488,20.21434813032492,14.277773535028995
BRG_IR,14.946436877178998,16.239394757442213,26.42890768601491,14.764804546801196
BRG_OR,6.38593168615636,6.517244157219929,9.21065349941051,5.93354027770593
GBX_BT,8.82792154881662,9.30610023632392,12.62614968023163,7.754064216838879
GBX_EG,6.356082981511306,5.839043520648945,8.804445211523499,5.388427925947699
GBX_WR,8.414602414391759,8.055381592126633,12.756624358445244,8.20566309634829
MIX_IB,8.450743299991982,9.286844416996791,11.20108565293331,9.069151743048849
MIX_II,6.608613472824967,5.878552294334313,8.542270044398261,5.79814319500592
MIX_IS,6.473628495600927,7.242848289315113,11.565522211319747,6.870826700064884
MIX_OB,11.374995241742,9.124870497029692,13.47456958489755,8.02336205442531
MIX_OI,5.245770006959335,6.015178002432611,7.643794258432789,5.224481535801541
MIX_OS,7.56498110427545,6.3298900598853605,7.37928748894184,5.72378568631206
NOR,8.761764596830993,7.178570695763284,9.3835080443775,6.339365400681801
