fault,1200rpm,1800rpm,200-2400-200,2400rpm
BRG_BF,8.042713996982439,11.271995181558896,21.502382554159304,7.342584576801791
BRG_CF,0.1652017871955116,0.2868140955554255,2.4497630230481926,0.501873510957509
BRG_IO,11.10669973000836,5.992963885796257,21.757061889802305,15.021108401857395
BRG_IR,20.657852651032385,33.67716348109376,92.74423026786012,36.054504027522576
BRG_OR,0.2406604850555682,0.1270581681839173,2.890551818873023,0.3306025301192745
GBX_BT,3.235708559206362,1.2712367942136868,6.365231661833679,1.0704998441899312
GBX_EG,0.3141289835226453,0.1438657330388091,2.029808408792209,0.275134558696323
GBX_WR,1.5022136509390052,0.6928296147091677,5.944452535298673,1.4706428820917754
MIX_IB,1.2621874385007883,1.1777512359027948,3.39951320298498,1.0359589227832684
MIX_II,0.6056742647461366,0.2948141015897993,2.330023772750936,0.3068250009719184
MIX_IS,0.1195278951479665,0.3508143791851692,4.539457956641571,0.8048737874880563
MIX_OB,2.1529765834169536,0.8045927008860732,4.536073145620353,1.351011168734944
MIX_OI,0.094193723537101,0.1576436121867979,1.920420655551407,0.1336425239251353
MIX_OS,0.6269769978724522,0.4326200524256136,1.575086735366856,0.31860129880023
NOR,1.532448672511918,0.5215004587110692,3.6043046050196246,0.6043070850246077
