fault,1200rpm,1800rpm,200-2400-200,2400rpm
BRG_BF,0.1682557191133514,0.2761365469226569,0.2264637773372299,0.3919995697794448
BRG_CF,0.1014070840226947,0.1668266366175968,0.160717068059955,0.2438898114217905
BRG_IO,0.1241445581052484,0.2174047659801788,0.2032219873485461,0.3071837488695042
BRG_IR,0.0907105828058663,0.205019956083905,0.2234712107729395,0.4352580475839963
BRG_OR,0.0898255772518696,0.1526258608706645,0.1347678533428105,0.2148464391132224
GBX_BT,0.1086156004782953,0.1982355608850318,0.2272585129014057,0.3940514180118106
GBX_EG,0.0898053096003282,0.1557909265075832,0.1569093755267913,0.231774465050555
GBX_WR,0.1191381304344686,0.1723692396344235,0.165216121505115,0.3072512203336732
MIX_IB,0.1909891168983362,0.1964714727707309,0.1988200134347512,0.2975140428175176
MIX_II,0.0929499058351523,0.1484089885261102,0.150334746305771,0.2406804994402307
MIX_IS,0.0752669079375043,0.0880371884829711,0.0796116235113721,0.143617361210796
MIX_OB,0.1211077429680779,0.2001781834158184,0.2050603533263811,0.3172984071678351
MIX_OI,0.1028085484656248,0.1768526217461538,0.1715770932156012,0.2671652661484344
MIX_OS,0.0831330562933685,0.1219784218517665,0.1144920835874834,0.1549324256008931
NOR,0.10987054605660575,0.16374922396671127,0.1344683646667676,0.3396288459162165
