file,mtime,model,target,data_mode,label_space,experiment_tag,unified_sampling,evaluation_mode,primary_comparable,metric_split,window_accuracy,window_macro_f1,window_macro_prec,window_macro_rec,file_accuracy,file_macro_f1,file_macro_prec,file_macro_rec,n_files,inf_ms_win,batch_size,effective_batch_size,peak_train_gpu_mb,peak_inference_gpu_mb,peak_rss_mb,robustness_window_macro_f1,robustness_window_accuracy,robustness_file_macro_f1,robustness_file_accuracy,robustness_n_files,noise_macro_f1_snr10p0,noise_macro_f1_snr5p0,noise_macro_f1_snr0p0
/Volumes/Seagate/MSPF-Net/results/baselines/convnext1d/processed/d5/convnext1d_d5_recommended_fine_results.json,1778919821.0,convnext1d,D5,processed,fine,recommended_fine,,primary_test,True,test,72.47432648706321,70.71031218724862,79.57495842317537,75.5428114163777,81.25,77.77777777777776,76.66666666666667,83.33333333333334,16,0.006617872350034304,256,,,,,72.08821973125039,74.21812483328888,77.77777777777779,81.25,16.0,,,
/Volumes/Seagate/MSPF-Net/results/baselines/convnext1d/processed/d8/convnext1d_d8_recommended_fine_results.json,1778919867.0,convnext1d,D8,processed,fine,recommended_fine,,primary_test,True,test,49.44444444444444,44.28121986484635,69.60425808548676,49.44444444444444,53.333333333333336,49.76657329598506,80.55555555555557,53.333333333333336,15,0.1234726385316915,256,,,,,28.63617542749715,35.27777777777778,28.654970760233915,40.0,15.0,,,
/Volumes/Seagate/MSPF-Net/results/baselines/lstnet/processed/d5/lstnet_d5_recommended_fine_results.json,1778921658.0,lstnet,D5,processed,fine,recommended_fine,,primary_test,True,test,79.17944785276073,80.32296625390427,82.55791253624312,82.50822441539967,93.75,95.55555555555554,96.66666666666667,96.66666666666667,16,0.0076928445196244866,128,,,,,71.97833365639124,73.35289410509469,68.88888888888887,75.0,16.0,,,
/Volumes/Seagate/MSPF-Net/results/baselines/lstnet/processed/d8/lstnet_d8_recommended_fine_results.json,1778921706.0,lstnet,D8,processed,fine,recommended_fine,,primary_test,True,test,93.05555555555556,92.97937691970162,94.25287356321839,93.05555555555554,93.33333333333333,93.26599326599326,94.44444444444446,93.33333333333333,15,0.1751259176267518,128,,,,,33.881056709214455,44.72222222222222,36.75213675213676,46.666666666666664,15.0,,,
/Volumes/Seagate/MSPF-Net/results/baselines/se_cnn1d/processed/d5/se_cnn1d_d5_recommended_fine_results.json,1778924816.0,se_cnn1d,D5,processed,fine,recommended_fine,,primary_test,True,test,74.53154174446519,73.07493835528803,79.73694856225836,76.26300346759135,75.0,72.22222222222221,70.0,76.66666666666667,16,0.019541286019375548,128,,,,,69.40866242330024,71.5674179781275,77.77777777777776,81.25,16.0,,,
/Volumes/Seagate/MSPF-Net/results/baselines/se_cnn1d/processed/d8/se_cnn1d_d8_recommended_fine_results.json,1778924852.0,se_cnn1d,D8,processed,fine,recommended_fine,,primary_test,True,test,93.33333333333333,93.26599326599326,94.44444444444446,93.33333333333333,93.33333333333333,93.26599326599326,94.44444444444446,93.33333333333333,15,0.3389755807196101,128,,,,,41.185977958664125,47.22222222222222,52.861952861952865,53.333333333333336,15.0,,,
/Volumes/Seagate/MSPF-Net/results/baselines/rf_features/processed/d5/rf_features_d5_recommended_fine_results.json,1778925328.0,rf_features,D5,processed,fine,recommended_fine,,primary_test,True,test,10.304414510536143,3.4430064216363876,2.9872925841200813,9.196230105805993,6.25,0.8333333333333334,0.4444444444444444,6.666666666666667,16,,512,,,,,30.202663192716532,31.925180048012802,54.8888888888889,62.5,16.0,,,
/Volumes/Seagate/MSPF-Net/results/baselines/rf_features/processed/d8/rf_features_d8_recommended_fine_results.json,1778925337.0,rf_features,D8,processed,fine,recommended_fine,,primary_test,True,test,33.33333333333333,22.099447513812155,16.528925619834713,33.33333333333333,33.33333333333333,22.22222222222222,16.666666666666664,33.33333333333333,15,,512,,,,,50.038367864411306,62.5,55.55555555555555,66.66666666666666,15.0,,,
/Volumes/Seagate/MSPF-Net/results/baselines/mspf_net/processed/d5/mspf_net_d5_recommended_fine_results.json,1778938735.0,mspf_net,D5,processed,fine,recommended_fine,,primary_test,True,test,37.174913310216056,32.11803308582018,59.680154816900355,38.9312705610385,37.5,25.33333333333333,20.0,40.0,16,0.3086706274189055,32,,,,,54.82172680544103,56.69178447586023,70.0,75.0,16.0,,,
/Volumes/Seagate/MSPF-Net/results/baselines/mspf_net/processed/d8/mspf_net_d8_recommended_fine_results.json,1778938926.0,mspf_net,D8,processed,fine,recommended_fine,,primary_test,True,test,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15,3.1801783945411444,8,,,,,63.1502890917091,70.83333333333334,68.25396825396824,73.33333333333333,15.0,,,
