file,mtime,model,target,data_mode,group_id,cv_folds,cv_val_ratio,label_space,unified_sampling,experiment_tag,evaluation_mode,window_size,window_shape,in_channels,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,macro_precision_mean,macro_precision_std,macro_precision_min,macro_precision_max,macro_recall_mean,macro_recall_std,macro_recall_min,macro_recall_max,file_accuracy_mean,file_accuracy_std,file_accuracy_min,file_accuracy_max,file_macro_f1_mean,file_macro_f1_std,file_macro_f1_min,file_macro_f1_max,file_macro_precision_mean,file_macro_precision_std,file_macro_precision_min,file_macro_precision_max,file_macro_recall_mean,file_macro_recall_std,file_macro_recall_min,file_macro_recall_max,val_accuracy_mean,val_accuracy_std,val_accuracy_min,val_accuracy_max,val_macro_f1_mean,val_macro_f1_std,val_macro_f1_min,val_macro_f1_max,val_macro_precision_mean,val_macro_precision_std,val_macro_precision_min,val_macro_precision_max,val_macro_recall_mean,val_macro_recall_std,val_macro_recall_min,val_macro_recall_max,file_val_accuracy_mean,file_val_accuracy_std,file_val_accuracy_min,file_val_accuracy_max,file_val_macro_f1_mean,file_val_macro_f1_std,file_val_macro_f1_min,file_val_macro_f1_max,file_val_macro_precision_mean,file_val_macro_precision_std,file_val_macro_precision_min,file_val_macro_precision_max,file_val_macro_recall_mean,file_val_macro_recall_std,file_val_macro_recall_min,file_val_macro_recall_max
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/timesnet/processed/d1/timesnet_d1_cv5_summary.json,1779087525.2287238,timesnet,D1,processed,,5,0.2,fine,,,crossval_summary,512,"[1, 512]",1,95.43273350471293,3.527267500502546,88.47472150814053,97.79348757497857,94.98351442395486,4.163282813384215,86.77834326551694,97.6787905323632,96.05859925973782,2.678617017878745,90.80034672604332,97.94388317402776,94.85518423307626,4.136297823852917,86.73521850899742,97.57497857754927,98.33333333333333,3.333333333333337,91.66666666666666,100.0,98.0952380952381,3.8095238095238066,90.47619047619048,100.0,99.0,2.0,95.0,100.0,98.0,4.0,90.0,100.0,95.88174807197944,3.8242874236053317,88.56041131105398,98.89460154241645,95.88189475421393,3.822512486975981,88.56506899894939,98.89512602314878,96.50278664534395,2.757805297595439,91.413149996634,98.90924897091514,95.88174807197944,3.8242874236053317,88.56041131105398,98.89460154241645,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/timesnet/processed/d2/timesnet_d2_cv5_summary.json,1779154670.9092605,timesnet,D2,processed,,5,0.2,fine,,,crossval_summary,8192,"[4, 8192]",4,72.08300242171262,9.685127152509788,57.130765975454935,83.45959595959596,71.78147093561172,8.725026554634994,58.823742922867105,82.87521350417492,74.76403525377359,6.357914938900395,67.67167980203077,85.07045413150485,72.57947905546288,9.437691595584258,57.364441871174456,83.82536501742713,72.5,12.869537676233751,56.25,93.75,71.57777777777777,12.11910572641239,59.88888888888889,93.14285714285712,75.73333333333332,10.335268635975446,65.0,95.0,72.99999999999999,12.265579661982732,56.666666666666664,93.33333333333333,78.70742747187701,11.170479217571495,62.458440201386914,93.3913043478261,78.12813031058458,11.678622078184825,61.02692794622904,93.23393511158358,79.67137191186112,11.436287896395104,63.06112116905753,93.07119549174784,79.52312840792284,10.887728648570015,64.16664582634132,93.84487088406581,80.0,14.56862718169367,64.28571428571429,100.0,78.4,16.735195169749723,58.57142857142858,100.0,77.6,18.88962090084864,55.00000000000001,100.0,80.66666666666666,14.360439485692014,63.33333333333333,100.0
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/timesnet/processed/d4/timesnet_d4_cv5_summary.json,1779206624.1405067,timesnet,D4,processed,,5,0.2,fine,,,crossval_summary,2048,"[1, 2048]",1,17.436497326203206,2.8131378935098934,13.112745098039216,21.96691176470588,15.52040731688405,3.15605018760268,11.443512892049377,20.92624635757766,19.127609238113227,3.117028978059888,16.21563853547062,24.10720629135056,17.6671918767507,3.963042436242069,12.62990991851286,23.2616341991342,22.083333333333336,7.168604389202191,14.583333333333334,35.41666666666667,18.933004989506536,7.540597034394999,10.813492063492063,32.665317139001345,20.927516927516926,6.0290705400865,13.928571428571429,31.726190476190474,23.526785714285715,9.90588685518642,12.276785714285714,41.07142857142857,17.25601604278075,2.4800915606867138,15.013368983957221,22.06885026737968,14.9804460287824,2.5059171726902107,13.106258472542526,19.942712368324337,17.21018843462435,2.4928534034857583,14.036477026961801,20.650001824879492,16.409870766488414,3.8240989892076658,14.004010695187166,24.039104278074866,22.0,4.301162633521313,17.5,30.0,17.000561149588613,5.456067414520122,12.006578947368421,27.594905094905098,18.21946068637245,6.454635046577626,9.423076923076923,25.948322510822507,21.666666666666664,7.97130269571208,16.666666666666664,37.5
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/timesnet/processed/d5/timesnet_d5_cv5_summary.json,1779209713.1989012,timesnet,D5,processed,,5,0.2,fine,,,crossval_summary,256,"[3, 256]",3,46.20355057645001,8.97871313242034,29.234462523339555,55.80154707922112,27.91382763891258,3.1915188234299103,22.01181776690434,30.58627509744149,36.85721790140874,2.644385882324594,32.675531849124276,40.79846411299651,27.501555970481014,4.355325733148973,18.974837734506977,30.927358406686228,48.0,10.40892304767144,30.0,60.0,25.333333333333332,3.3993463423951886,20.0,28.888888888888886,23.77777777777778,2.5915341754868004,20.0,26.666666666666668,28.666666666666664,4.988876515698586,20.0,33.33333333333333,48.33004356717346,3.7163925616710958,43.76633769005068,54.16555525918022,44.576504512154294,4.74658556666478,40.24817837178482,51.53118391993423,52.96516341868441,3.990923345882313,46.97175977733966,57.411386570258905,48.33004356717346,3.7163925616710944,43.76633769005068,54.16555525918022,57.33333333333333,6.798692684790377,46.666666666666664,66.66666666666666,50.88888888888889,9.747427644205027,36.666666666666664,64.44444444444444,48.22222222222222,11.012899282990103,32.22222222222222,63.33333333333333,57.33333333333333,6.798692684790377,46.666666666666664,66.66666666666666
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/timesnet/processed/d8/timesnet_d8_cv5_summary.json,1779211663.6195185,timesnet,D8,processed,,5,0.2,fine,,,crossval_summary,8192,"[4, 8192]",4,87.55555555555556,5.888364756549381,77.5,94.44444444444444,86.90708717167246,6.846444452720189,74.73107090362778,94.42539682539682,89.67605010203508,3.732630300885299,85.55183946488295,94.81025641025641,87.55555555555557,5.888364756549381,77.5,94.44444444444446,90.66666666666666,6.798692684790379,80.0,100.0,90.24412624412625,7.424547899081251,78.02197802197803,100.0,92.61111111111111,4.95535624910617,86.66666666666667,100.0,90.66666666666666,6.798692684790379,80.0,100.0,86.31944444444443,3.698201932137314,80.20833333333334,90.97222222222221,86.08651450065099,3.8346763418790104,79.99112688553681,90.91168287691707,88.05205115129033,4.416391673210136,79.90909090909092,92.89617486338798,86.31944444444443,3.698201932137313,80.20833333333334,90.97222222222221,88.33333333333333,4.082482904638621,83.33333333333334,91.66666666666666,88.03174603174605,4.304212479179851,82.22222222222223,91.53439153439153,90.44444444444443,3.9503086299180343,83.33333333333334,93.33333333333333,88.33333333333333,4.082482904638621,83.33333333333334,91.66666666666666
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/transformer1d/processed/d1/transformer1d_d1_cv5_summary.json,1779212062.9977164,transformer1d,D1,processed,,5,0.2,fine,,,crossval_summary,512,"[1, 512]",1,94.26735218508998,3.0951282547398296,90.1885175664096,99.10025706940874,93.55355628478262,3.7807572507887572,88.0267043765682,99.06216331275806,94.84981880756679,2.66904286352336,91.50818052007995,99.03163153916068,93.42587832047987,3.7950170822154847,88.2433590402742,99.10025706940873,96.66666666666666,4.082482904638635,91.66666666666666,100.0,95.96190476190476,4.958823648083194,89.33333333333333,100.0,97.66666666666666,2.905932629027117,93.33333333333333,100.0,96.0,4.898979485566356,90.0,100.0,92.76606683804627,4.2931237776638245,87.22365038560412,97.22365038560412,92.51745650880002,4.574643201317864,86.5882377795389,97.21021004070933,94.17454688498242,2.6996785047137752,90.70326133982196,97.32931004704672,92.76606683804627,4.293123777663823,87.22365038560412,97.22365038560412,96.0,4.898979485566356,90.0,100.0,95.73333333333332,5.225578117937449,89.33333333333333,100.0,97.33333333333333,3.2659863237109064,93.33333333333333,100.0,96.0,4.898979485566356,90.0,100.0
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/transformer1d/processed/d2/transformer1d_d2_cv5_summary.json,1779216109.2127962,transformer1d,D2,processed,,5,0.2,fine,,,crossval_summary,8192,"[4, 8192]",4,91.82034228248784,5.610644462456453,81.62505289885739,97.87145933410635,90.82352454565141,7.10801113401789,77.45726635267309,97.847671168417,92.97537738757815,3.584682347980622,87.44085180967247,97.8092015324395,91.46446199646356,6.004377662013972,80.43993421679477,97.92153660964928,95.0,7.2886898685566255,81.25,100.0,93.42222222222222,10.329485544059699,73.33333333333333,100.0,93.2,11.702991070662236,70.0,100.0,94.66666666666666,7.774602526460401,80.0,100.0,92.75306738568013,4.410303127760137,85.04752851711027,97.55865868718533,92.45905359032142,4.761641691783951,84.2952194047706,97.66114068188054,92.57357836339415,4.647026060996071,84.57013849089401,97.78525466083966,92.78034226848814,4.620481495814557,84.83246052080193,97.66133946298446,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/transformer1d/processed/d4/transformer1d_d4_cv5_summary.json,1779218001.834065,transformer1d,D4,processed,,5,0.2,fine,,,crossval_summary,2048,"[1, 2048]",1,16.71178698752228,1.1724084116751186,14.421791443850267,17.677696078431374,14.594428598118856,0.8736808847772416,12.900046715669882,15.404342873035315,19.661453560868956,4.392020737837573,15.680885070921391,27.5517897279895,16.72664804558187,0.9466840094541937,15.65494095365419,18.256720301757067,18.333333333333336,3.0618621784789735,14.583333333333334,20.833333333333336,15.984200582026668,1.6374900531454142,13.710317460317462,18.73251748251748,24.687876665817843,8.40353235288381,15.467171717171718,37.15909090909091,18.4672619047619,2.9400333433637607,14.211309523809524,21.874999999999996,15.111631016042782,3.534976900964746,10.655080213903743,19.07085561497326,13.709422919608471,3.0472220896726236,9.413031282413026,16.535451727221407,16.34795446470168,3.397322233929212,11.959097285167966,20.21071295658731,15.160984848484848,3.4523065157076323,10.642268270944742,19.816733511586452,17.5,5.244044240850758,10.0,22.5,14.740349927849929,4.941257840034806,7.927489177489178,20.188492063492063,19.867324561403507,8.874354328231313,7.708333333333334,32.98245614035088,16.249999999999996,6.640573937712177,8.333333333333332,27.083333333333332
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/transformer1d/processed/d5/transformer1d_d5_cv5_summary.json,1779219080.9225426,transformer1d,D5,processed,,5,0.2,fine,,,crossval_summary,256,"[3, 256]",3,52.233484484751486,6.42842197859863,44.06775140037343,60.288669571144894,32.5759796281698,4.00858456371197,27.783164393069775,37.71902361253978,42.98529964702802,5.239274997130415,35.76693313262849,49.784000079741844,32.32186360807326,3.590612145114486,29.14466079843514,37.217924779941306,54.44444444444444,9.054021683317048,40.0,66.66666666666666,30.888888888888886,4.466611387164842,25.555555555555554,37.777777777777786,30.0,4.714045207910315,23.333333333333332,36.666666666666664,33.33333333333333,4.714045207910316,26.666666666666668,40.0,56.542366853383136,2.9438132193216955,53.603627634035746,61.51151418155953,53.89477017837892,4.529713398606096,47.12917247260225,59.31091714791293,61.05863372113656,6.322005633011549,51.62323495948944,66.58355877945716,56.542366853383136,2.9438132193216933,53.603627634035746,61.51151418155953,62.666666666666664,7.999999999999996,53.333333333333336,73.33333333333333,55.333333333333336,8.146801235477048,44.44444444444445,64.44444444444444,51.77777777777777,8.391647817110757,40.0,60.0,62.666666666666664,7.999999999999996,53.333333333333336,73.33333333333333
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/transformer1d/processed/d8/transformer1d_d8_cv5_summary.json,1779219340.4673858,transformer1d,D8,processed,,5,0.2,fine,,,crossval_summary,8192,"[4, 8192]",4,97.05555555555557,4.3411610212414,88.61111111111111,100.0,97.05264810024556,4.3448952836199854,88.60141439766468,100.0,97.11419427752153,4.314922070650938,88.68603813903792,100.0,97.05555555555557,4.3411610212414,88.61111111111111,100.0,97.33333333333334,5.333333333333331,86.66666666666667,100.0,97.33333333333334,5.333333333333326,86.66666666666669,100.0,97.33333333333334,5.333333333333331,86.66666666666667,100.0,97.33333333333334,5.333333333333331,86.66666666666667,100.0,96.875,5.908902051717403,85.06944444444444,100.0,96.71731559490378,6.223960551967601,84.2810224189633,100.0,97.79876099120705,4.064165046943088,89.68824940047962,100.0,96.875,5.908902051717399,85.06944444444446,100.0,96.66666666666667,6.666666666666663,83.33333333333334,100.0,96.44444444444444,7.111111111111108,82.22222222222223,100.0,97.77777777777779,4.4444444444444455,88.88888888888889,100.0,96.66666666666667,6.666666666666663,83.33333333333334,100.0
