file,mtime,target,variant,variant_label,experiment_tag,run_suffix,data_mode,label_space,evaluation_mode,classifier_head,epochs,epochs_ran,batch_size,best_epoch,window_accuracy,window_macro_f1,window_macro_prec,window_macro_rec,file_accuracy,file_macro_f1,file_macro_prec,file_macro_rec,n_files,inf_ms_win,params,primary_comparable
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d1/mspf_net_d1_no_wavelet_residual_results.json,1780325150.4909046,D1,no_wavelet_residual,-Wavelet Residual,no_wavelet_residual,,processed,fine,primary_test,softmax,100,40,128,20,90.93401885175663,90.8625033175779,92.8371797127673,90.93401885175665,93.33333333333333,93.14285714285712,95.0,93.33333333333333,15,0.2716601014981279,1649752,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d2/mspf_net_d2_no_wavelet_residual_results.json,1780362376.781232,D2,no_wavelet_residual,-Wavelet Residual,no_wavelet_residual,,processed,fine,primary_test,softmax,100,47,16,27,76.60193517829353,74.8949123465322,81.3154886662387,76.63907813806661,85.0,85.02164502164501,91.42857142857143,85.0,20,9.316122869495302,2461400,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d4/mspf_net_d4_no_wavelet_residual_results.json,1780373101.368986,D4,no_wavelet_residual,-Wavelet Residual,no_wavelet_residual,,processed,fine,primary_test,softmax,100,26,32,6,32.72894385026738,32.73024120963085,36.26705506919706,33.30229819200407,43.75,45.032467532467535,51.210317460317455,44.64285714285714,48,1.523601481312653,2462883,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d5/mspf_net_d5_no_wavelet_residual_results.json,1780374638.4324837,D5,no_wavelet_residual,-Wavelet Residual,no_wavelet_residual,,processed,fine,primary_test,softmax,100,21,128,1,33.070485462790074,29.51922191370908,47.44720600895654,31.734684804836842,25.0,18.000000000000004,17.40740740740741,23.333333333333332,16,0.23143051876104437,2466513,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d8/mspf_net_d8_no_wavelet_residual_results.json,1780375538.3311033,D8,no_wavelet_residual,-Wavelet Residual,no_wavelet_residual,,processed,fine,primary_test,softmax,100,26,16,6,80.0,78.02197802197803,87.5,80.0,80.0,78.02197802197803,87.5,80.0,15,13.994206188363023,1648782,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d1/mspf_net_d1_no_periodic_path_results.json,1780375913.0015886,D1,no_periodic_path,-Periodic Path,no_periodic_path,,processed,fine,primary_test,softmax,100,37,128,17,90.33419023136247,90.27771912820293,92.43971649353469,90.33419023136246,93.33333333333333,93.14285714285712,95.0,93.33333333333333,15,0.27611385376076214,1649752,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d2/mspf_net_d2_no_periodic_path_results.json,1780398254.1591628,D2,no_periodic_path,-Periodic Path,no_periodic_path,,processed,fine,primary_test,softmax,100,29,16,9,62.33168685296705,56.64725379244343,70.86263409225448,62.53100471103855,65.0,58.00000000000001,53.333333333333336,65.0,20,6.371737537847366,2461400,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d4/mspf_net_d4_no_periodic_path_results.json,1780407597.5110698,D4,no_periodic_path,-Periodic Path,no_periodic_path,,processed,fine,primary_test,softmax,100,26,32,6,33.97114527629233,33.56120460692858,37.46258502673793,34.34476063152534,43.75,44.10714285714286,48.42261904761905,44.64285714285714,48,1.1861514969496056,2462883,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d5/mspf_net_d5_no_periodic_path_results.json,1780408878.3474808,D5,no_periodic_path,-Periodic Path,no_periodic_path,,processed,fine,primary_test,softmax,100,21,128,1,32.62536676447053,28.540402821742706,46.29826470985471,31.248332888770335,31.25,22.444444444444443,20.74074074074074,30.0,16,0.17964519593078876,2466513,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d8/mspf_net_d8_no_periodic_path_results.json,1780409622.046356,D8,no_periodic_path,-Periodic Path,no_periodic_path,,processed,fine,primary_test,softmax,100,26,16,6,90.27777777777779,90.06651884700663,92.4731182795699,90.27777777777779,86.66666666666667,86.1111111111111,90.47619047619048,86.66666666666667,15,11.18637291219784,1648782,True
/mnt/8tb_hdd/tushar/MSPF_Net/results/baselines/mspf_net/processed/d1/mspf_net_d1_no_nonstationary_path_results.json,1780409954.8585856,D1,no_nonstationary_path,-Nonstationary Path,no_nonstationary_path,,processed,fine,primary_test,softmax,100,78,128,58,87.83204798628962,87.58503274510592,89.98105554055923,87.83204798628962,93.33333333333333,93.14285714285712,95.0,93.33333333333333,15,0.08594548507971922,237535,True
